# affiliation_overrides.txt
#
# Manually force the affiliation(s) shown for specific units, regardless
# of what's declared in the XML, or inferred via garrison-spawner
# inheritance or filename inference (guessed_affiliation_from_filename).
# This is the highest-priority affiliation source -- for the rare cases
# where every other signal is wrong or missing for a specific unit and
# hand-fixing the source XML isn't practical.
#
# FORMAT: one entry per line --
#
#   <exact unit Name>,<affiliation1>[,<affiliation2>,...]
#
# Lines starting with # are comments; blank lines are ignored. Not
# passed by default -- point at this file with:
#
#   --affiliation-overrides affiliation_overrides.txt
#
# Example (uncomment and edit):
# Enforce,CSA
181st_Alpha_Defender_Squadron,Empire
181st_Alpha_Fighter_Squadron,Empire
181st_Alpha_Interceptor_Squadron,Empire
181st_Beta_Defender_Squadron,Empire
181st_Beta_Fighter_Squadron,Empire
181st_Beta_Interceptor_Squadron,Empire
181st_Bomber_Squadron,Empire
181st_Saber_Defender_Squadron,Empire
181st_Saber_Fighter_Squadron,Empire
181st_Saber_Interceptor_Squadron,Empire
TIE_Bomber_181st,Empire
Black_Eta2_Actis,Empire
Black_Squadron_TIE_Fighter,Empire
Tanbris_Eta2_Actis,Empire
Tanbris_TIE_Advanced,Empire
Vader_Eta2_Actis,Empire
TIE_Advanced,Empire
Black_TIE_Fighter,Empire
Black_Squadron,Empire
Mara_Jade_Z-95_Headhunter,Empire
Palpatine_Eclipse,Empire
Palpatine,Empire
Accuser_Star_Destroyer,Empire
Screed_Demolisher,Empire
GreyWolf_Star_Destroyer,Empire
Executrix_Star_Destroyer,Empire
Predominant_Star_Destroyer,Warlords
TIE_Droid_Squadron,Empire,Warlords
TIE_Droid_Bomber_Squadron,Empire,Warlords
MTC_Spy,Empire
MTC_Spy_Warlords,Warlords
TIE_Bizarro_Squadron,Warlords
Magnaguard_Escort_Flight_Member,CIS
Magnaguard_Escort_Lead,CIS
Widow,CSA
Millanti,CSA
Enforce,CSA
Popara_Minstrel,Cartels
Kraytfang,Cartels
Song_of_War,Hapan
Shysa_Kedable,Mandalorians
Starkiller_Venator,Mandalorians
Dying_Sun,Sith
Neb_Akaga_RotE,Warlords
Neb_Horyu_RotE,Warlords
Neb_Kagi_RotE,Warlords
Neb_Siryu_RotE,Warlords
VSD_Protector,Warlords
Aspiration,Warlords
Home_One,Rebel
Defender_Y,Rebel
Defender_Y_Squadron,Rebel
Garm_Bel_Iblis_Peregrine,Rebel
Gold_1,Rebel
Gold_10,Rebel
Gold_2,Rebel
Gold_3,Rebel
Gold_4,Rebel
Gold_5,Rebel
Gold_6,Rebel
Gold_7,Rebel
Gold_8,Rebel
Gold_9,Rebel
Dodonna_Quasar,Rebel
Mon_Mothma,Rebel
Rogue_1,Rebel
Rogue_2,Rebel
Yoda_Eta-2_Actis_Interceptor,Rebel
Ace_Azzameen_X-Wing,Rebel
